host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,city,rating,no._of_bedrooms,no._of_beds,no._of_baths
Neil,Ward 62,-33.98173,18.44797,Entire home/apt,950.0,2,14,2023-12-09,0.16,2,3,2,Rental unit,Cape Town,4.71,1.0,1.0,1.0
Claire,Ward 77,-33.94069,18.40576,Entire home/apt,1250.0,3,181,2023-12-07,2.08,4,321,14,Guest suite,Cape Town,4.87,No bedroom,1.0,1.0
Otto,Ward 15,-34.05817,18.83389,Entire home/apt,1700.0,1,0,,,1,0,0,Home,Cape Town,,3.0,4.0,2.0
Marisa,Ward 74,-34.0235,18.37361,Entire home/apt,4900.0,14,6,2020-01-07,0.07,1,2,0,Home,Cape Town,5.0,3.0,4.0,3.0
Marius And Rochelle,Ward 64,-34.13311,18.42671,Private room,650.0,3,14,2018-02-26,0.16,1,0,0,Home,Cape Town,4.93,1.0,1.0,1.0
Colin,Ward 55,-33.88933,18.50845,Entire home/apt,1650.0,2,35,2023-12-11,0.4,5,250,9,Rental unit,Cape Town,4.63,1.0,1.0,1.0
Annika,Ward 61,-34.20098,18.37983,Entire home/apt,2040.0,10,1,2017-01-01,0.01,1,0,0,Home,Cape Town,,3.0,5.0,3.0
Peter,Ward 59,-33.96720123291016,18.458776473999023,Entire home/apt,7500.0,10,2,2023-01-03,0.04,2,13,1,Home,Cape Town,,5.0,7.0,3.0
Propr,Ward 115,-33.90778,18.40171,Entire home/apt,4803.0,2,54,2023-11-03,0.63,1,314,8,Rental unit,Cape Town,4.69,2.0,3.0,2.0
Shantalie,Ward 57,-33.94268,18.47017,Private room,385.0,1,35,2023-12-09,0.44,2,151,7,Bungalow,Cape Town,4.77,1.0,1.0,1.0
Kevin,Ward 53,-33.92751,18.51802,Private room,5600.0,1,0,,,1,0,0,Guest suite,Cape Town,,4.0,8.0,4.0
Jessica,Ward 57,-33.95101,18.46959,Private room,300.0,5,4,2023-03-20,0.05,10,268,1,Home,Cape Town,4.25,1.0,1.0,2.0
BnB Sitter,Ward 115,-33.92526,18.42364,Entire home/apt,1440.0,2,117,2023-12-09,1.35,1,49,5,Loft,Cape Town,4.77,1.0,1.0,1.0
Terry,Ward 57,-33.95398,18.47379,Private room,300.0,14,4,2023-10-10,0.17,20,231,3,Home,Cape Town,4.75,1.0,1.0,3.0
Jessica,Ward 62,-34.00766,18.43823,Entire home/apt,9500.0,14,7,2021-01-15,0.08,1,82,0,Home,Cape Town,5.0,4.0,10.0,3.0
Cheryl,Ward 61,-34.15854,18.43177,Entire home/apt,5500.0,5,12,2023-02-16,0.14,3,58,2,Home,Cape Town,5.0,5.0,6.0,4.0
Annette,Ward 55,-33.89135,18.49221,Private room,649.0,2,9,2023-11-13,0.15,11,318,5,Home,Cape Town,5.0,1.0,2.0,1.0
Uta,Ward 64,-34.14996,18.43822,Entire home/apt,2988.0,3,233,2023-12-10,2.7,16,336,38,Cottage,Cape Town,4.78,No bedroom,1.0,1.0
Su,Ward 64,-34.13093,18.44462,Entire home/apt,1200.0,2,163,2023-12-26,1.86,1,351,23,Home,Cape Town,4.88,2.0,2.0,2.0
Turnkey365,Ward 54,-33.96502,18.3789,Entire home/apt,14946.0,3,19,2023-11-28,0.33,53,326,5,Villa,Cape Town,4.58,3.0,3.0,3.0
Turnkey365,Ward 54,-33.95724,18.38657,Entire home/apt,13836.0,3,27,2023-12-13,0.58,53,292,12,Home,Cape Town,4.78,3.0,4.0,3.0
Amandie & Werner,Ward 69,-34.10574,18.39405,Entire home/apt,3000.0,3,35,2020-03-17,0.41,1,0,0,Guest suite,Cape Town,5.0,4.0,4.0,4.0
Claudia,Ward 23,-33.81399,18.4835,Entire home/apt,2828.0,5,39,2023-12-14,0.45,2,247,6,Home,Cape Town,4.77,4.0,5.0,2.0
Simon,Ward 77,-33.94028,18.42936,Entire home/apt,956.0,2,58,2023-04-29,0.66,1,270,1,Guest suite,Cape Town,4.83,1.0,1.0,1.0
Marley,Ward 77,-33.93126,18.40242,Entire home/apt,6000.0,15,4,2017-04-13,0.05,3,365,0,Home,Cape Town,5.0,2.0,2.0,2.0
Kathy,Ward 54,-33.92745,18.37759,Entire home/apt,4557.0,1,16,2023-12-26,0.19,5,1,3,Serviced apartment,Cape Town,4.56,1.0,2.0,1.0
Gio,Ward 54,-33.92609,18.388,Entire home/apt,1564.0,5,47,2023-11-30,0.53,2,123,4,Rental unit,Cape Town,4.83,No bedroom,1.0,1.0
Malcolm,Ward 62,-34.016,18.43303,Entire home/apt,2400.0,4,3,2023-03-08,0.27,1,89,3,Cottage,Cape Town,4.33,2.0,2.0,2.0
Cora,Ward 83,-34.11182,18.82874,Entire home/apt,703.0,2,59,2023-12-11,0.67,1,167,9,Rental unit,Cape Town,4.97,2.0,3.0,1.0
Dora,Ward 15,-34.06564,18.82,Entire home/apt,1300.0,2,5,2023-04-25,0.06,2,261,1,Rental unit,Cape Town,5.0,1.0,1.0,1.0
Ann,Ward 55,-33.88162,18.51591,Private room,553.0,1,10,2023-03-12,0.12,1,356,3,Guesthouse,Cape Town,4.5,1.0,1.0,1.0
Joe,Ward 57,-33.94928,18.48247,Entire home/apt,3500.0,14,2,2022-01-01,0.02,1,0,0,Home,Cape Town,,3.0,4.0,2.0
Shane,Ward 62,-34.01306,18.42938,Entire home/apt,18000.0,7,3,2023-01-05,0.04,3,28,1,Home,Cape Town,5.0,5.0,7.0,5.0
Lu,Ward 115,-33.90935,18.41182,Entire home/apt,1138.0,2,213,2023-11-22,2.41,27,314,29,Rental unit,Cape Town,4.85,1.0,1.0,1.0
Barbara,Ward 61,-34.19805,18.45137,Entire home/apt,2000.0,2,38,2023-12-04,0.44,2,197,9,Condo,Cape Town,4.74,4.0,6.0,2.0
Ralph,Ward 115,-33.92085,18.42452,Entire home/apt,1331.0,3,64,2023-12-10,0.74,1,158,10,Condo,Cape Town,4.81,No bedroom,1.0,1.0
Richenda,Ward 54,-33.91053,18.39569,Entire home/apt,1850.0,3,227,2023-12-20,2.58,6,124,42,Rental unit,Cape Town,4.99,No bedroom,1.0,1.0
Esme,Ward 23,-33.73339,18.43834,Entire home/apt,650.0,2,114,2023-12-20,1.31,1,310,13,Rental unit,Cape Town,4.91,1.0,2.0,1.0
Jo,Ward 77,-33.9373,18.40085,Entire home/apt,3500.0,5,6,2020-03-13,0.07,2,141,0,Home,Cape Town,4.83,2.0,2.0,2.0
